name,image,link,age,sex,breed,town,postcode,charity,description,date
A Dog For You,https://foreverhoundstrust.org/wp-content/uploads/2021/07/Untitled-design-1-280x280.png,https://foreverhoundstrust.org/dog/a-dog-for-you/,,,SIGHTHOUND,,EX15 1NE,Forever Hounds Trust,"Reasons why we love this dog…

He/she will suit your home situation

He/she will suit your sighthound experience

He/she will suit your family circumstances

Doggie Details

Current status:

 

Available

I am a:

 

Sighthound

My favourite thing is:

 

Adopters to suit my needs

My personality:

 

To suit you

Cat Friendly:

 

Not cat trainable

At any one time we have a number of greyhounds and lurchers in kennels that are looking for a loving home, some may not appear on our website. This could be ‘a dog for you’….a dog that may be matched to you according to the information you provide on the bottom of this profile. Registering your interest here gives you a greater opportunity to be considered for a dog that suits your circumstances, but keep an eye on the website for a dog that you thinks suits you too!

‘A dog for you’ will be a greyhound or lurcher currently in our care who is looking for a loving home.

‘A dog for you’ can suit a range of people with sighthound experience from the novice to the experienced home (experienced homes always very welcome!)

‘A dog for you’ can fit a wide range of living arrangements, but especially popular are rural or semi-rural locations.

‘A dog for you’ will suit your family situation. Whilst some of our dogs can live with children and/or other dogs, many struggle to live with children under 10, or small breed dogs (the latter mainly relating to ex racing greyhounds)

‘A dog for you’ is unlikely to be able to live with cats (or there will be a longer wait)

‘A dog for you’ should be not be expected to have lived in a home before (although some of our dogs may have done)

‘A dog for you’ MAY never be allowed to be let off the lead in a public place due to the natural instinct of the breed.

‘A dog for you’ will need to meet you at our kennel location in Devon, although we occasionally have other dogs which will be homed direct from their current home which could be based in Devon, Dorset, Somerset or Bristol. This may be just the once, or multiple times (depending on the dog).

If you apply for ‘a dog for you’, we will hold onto your application for 3 months, we will review it as new dogs become available. We will contact you to talk through your situation and requirements if we feel we have a match for you, but please, please … keep an eye on the website and apply for a dog if you are interested in them, and think you could be a match. It helps us to speed up the process as we have lots of home offers coming in each week.

Please note, if you have a particular request for a ‘type’ of dog, or fall into some of the categories above that may present a challenge in finding you a suitable dog, we will still happily accept your application as we do get dogs to suit all circumstances. However, it must be accepted that there is a much longer waiting list for these types of dogs. Also in very high demand are small sized, or long coated lurchers.",07/21/2025
A TURBO,https://fenbankgreyhounds.co.uk/wp-content/uploads/2023/09/turbo-220x162.jpg,https://fenbankgreyhounds.co.uk/hounds/turbo/,,,,,PE22 8PS,Fen Bank Greyhound Sanctuary,,07/21/2025
Abba,/media/animal_images/AbbaAA.png.640x640_q80_crop_progressive_upscale.png,https://www.manytearsrescue.org/adopt/dogs/2310/,1 year,Female,Beagle Cross,,SA14 7HB,Many Tears Animal Rescue,"03-05-25 Beautiful Abba has come to us from a breeder and is now looking for a loving forever home. This sweet girl is quite timid and will often run away from you in the kennel, but once scooped into your arms, she begins to relax and enjoys a gentle stroke.

A kind and confident resident dog in her new home is essential to help her learn the ropes and to show her that people can be kind. With patience, love, and a little time, we’re sure Abba will begin to shine and enjoy the life she truly deserves.

Abba is a quietly curious soul who loves to sit and watch the world go by. Everything is new to her, so she will need patient adopters who can offer her the time and kindness she needs to blossom. She has never lived in a home before, so she will need to learn about house training, and her new family will need to gently guide her as she adjusts to the sights, sounds and routines of home life.

Abba doesn't yet know how to walk on a lead and will need to be introduced to this gradually. She will benefit from an active home with adopters who are happy to help her build her confidence and show her just how lovely the outside world can be.

Abba has been given the Gift of Life by Deb Huggins",07/21/2025
About Ludo,,https://www.blisscavalierrescue.org/dogs/available/,Breed: XXL Cavalier King Charles Spaniel (Tricolour),Sex: Male – Neutered,Age: 5,,DN19 7NE,Bliss Cavalier Rescue," Location: North East Lincolnshire

Basic Information
Age: 5
Breed: XXL Cavalier King Charles Spaniel (Tricolour)
Sex: Male – Neutered
Good with dogs? Yes – can also be an only dog
Good with cats? Not tested
Good with children? Not tested
Time able to be left alone: Short periods – has been left and settled well

 

 Health & Medical Needs

 Health conditions:

Grade 2 heart murmur – monitor only

Grade 2 luxating patella (right leg) – monitor and manage with joint supplements and salmon oil

 On medication? No

 Behaviour & Personality

 Behaviour traits: Human-focused, affectionate, content, a little reactive to animals on TV
 Activity level: Medium – enjoys walks and chasing birds
 Training required: Ongoing training to reduce reactivity to animals on television. Food-motivated and responsive.

About Ludo

Ludo is a beautiful 5-year-old tricolour Cavalier — extra-large in size and even bigger in heart 

He’s a gentle, contented soul who loves being close to his people. He sleeps soundly on the bedroom floor (or your bed, if invited!) and just needs to know you’re nearby. He has been left alone for short periods and has settled well, showing he can build confidence with the right reassurance.

Ludo has good recall, although he’s easily distracted by birds — he loves to chase them! He walks beautifully on a lead, travels brilliantly, and is a joy to have out and about. He can be slightly unsure in new situations, but quickly settles with some encouragement.

He needs to lose around 2kg to help support his joints, and he’s already on the right track. His teeth have been cleaned in rescue, and a daily dental care routine is recommended going forward.

Ludo is food-motivated, loving, and loyal — a classic Cavalier with a few quirks, a big heart, and lots of love to give. He’ll make a fabulous companion in the right home.

 Adoption Criteria

 Type of home required: A calm home with a secure garden, regular exercise, and humans who enjoy a close companion. Ideal for someone happy to help him continue his weight loss journey and maintain his joint health.

 Important Notes
 Adopters must have insurance or financial means to cover future medical costs.
 Home check and meet & greet required within 7-10 days of applying.
 Please read our adoption procedure before applying:

 Adoption Procedure:

 Read Adoption Procedure

 Apply for this dog here:

 Apply Now",07/21/2025
Abra ,background-image: url('https://assets.themayhew.org/app/uploads/2025/05/07143400/Abra-edit-scaled.jpg'),https://themayhew.org/dogs/abra/,4 Months Old,Female,Collie X Labrador,,NW10 6BJ,Mayhew,"Abra is an affectionate, lively and curious young pup, with a sensitive side. She enjoys spending time with her favourite people and playing with her toys. She can be a little worried when meeting new people but it doesn't take her long to show her social and cheeky side! She is a smart girl who will require plenty of mental and physical stimulation to keep her entertained! She is looking for an active and committed owner who will continue with her training and socialisation to help her grow into the well adjusted, social and happy adult dog, she has the huge potential to be. In return, her new family will be rewarded with a loving, loyal and lifelong companion.",07/21/2025
Ace,https://www.eastmidlandsdogrescue.org/wp-content/uploads/2025/07/IMG_2970-300x300.jpeg,https://www.eastmidlandsdogrescue.org/product/ace/,,,,,E19 4PD,East Midlands Dog Rescue,"Description

Labrador 6 years

A lovely friendly boy looking for a loving, local home.
He will need an adopter with a love of the breed, time and commitment to help him adjust to his new lifestyle

He’s a strong bouncy boy with a lust for life

A nice secure garden to call his own and home comforts will be great for him

A very nice soul

Viewings weds 10-12 no appointments necessary,  just turn up between those times

or Sundays by private viewing 07394367133 or 01455 845701 no calls after 6 m please",07/21/2025
Adele,https://sites.create-cdn.net/siteimages/29/4/1/294148/21/2/8/21288885/662x883.jpeg?1732699453,https://www.oakwooddogrescue.co.uk/adele,Age: 11 months old,Sex: Female,Breed: Mixed breed,,HU7 0YQ ,Oakwood Dog Rescue,"Introducing... adorable Adele!

Adele's Story:

Adele is just 11 months old and has spent her whole life living in shelters in Romania and at Oakwood Dog Rescue.

We had a plea from a volunteer rescuer that had just been at the shelter stating that there were 2 pups there that were completely withdrawing into themselves and were starting to shut down. They were very worried that these 2 babies wouldn't survive the winter as they were already so frail, and temperatures had already dropped to -5 degrees. It usually gets to -20 during their winter months.

In the photos, Adele is attached to Beyonce's side. Over time though, these 2 girls have made many new friends and are no longer reliant on each other. They both now kennel share with different dogs and are settled and happy with their groups. Unfortunately, when letting them back together for play dates, it seems that these 2 have really grown apart and no longer enjoy spending time with each other.

Adele has never lived in a home before and so would require time, patience, understanding and lots of positive based training to help her learn the ropes of home life.

 

Bio:",07/21/2025
ADOPT A DOG,,https://alpetpoundiesrescue.weebly.com/our-dogs-ready-for-adoption.html,,,,Croeslan,,Alpet Poundies Rescue,"Below are the dogs ready to find a loving home. To make sure that any new home will be their forever home, it is important that we balance the needs of the dog with the circumstances of the potential new owner. So before each adoption, we require
a home check
an agreed adoption contract
a minimum adoption donation of £300 for dogs 6 months and older, £400 for puppies under 6 months, £150 for a dog 10+ years old
​For this, the dog will be neutered (if old enough), vaccinated and microchipped before rehoming.

​Interested in adopting a dog from Alpet Poundies Rescue? Please fill in our Adoption Application Form.",07/21/2025
Adopt Ariel,https://k9-rescue.org/wp-content/uploads/2023/07/ariel-cover.jpg,https://k9-rescue.org/portfolio-items/adopt-ariel/?portfolioCats=17%2C455,5 yrs old (born January 2019),Female – spayed,,Crymych,,K9 Rescue,"Ariel is a sweet and affectionate female 5 year old dog for adoption, who is looking for her loving active family.

Ariel is an active youngster who loves her walks in the countryside and loves to play and bounce around – she adores being around people, Ariel is very gentle so can suit living with dog savvy kids and another dog if introductions go well. She needs a home in a peaceful setting away from busy towns or cities with access to a garden and would enjoy company for most of the day. Ariel settles nicely and travels well in the car, and loves to go out for walks – she’s a brisk walker so will definitely help her Guardian get their steps in!  She is very affectionate and loves to cuddle with people she knows, yet she is still nervous of new people and situations, so will need a few visits to get to know her new family.

Ariel still needs some work with her recall as when off lead she gets so focused on what she is doing, she becomes ‘deaf’ to being called, yet when she does finally hear us, she becomes super excited and apologetic as if saying ‘ohh, were you calling me?!’  so off-lead training is and will be a must for her, as although people oriented, she is easily distracted.  She loves to play with other dogs, often inviting play with a bow and cheeky bouncing.

In summary, Ariel is a really delightful, good all round dog, who, with just a little bit of training, will absolutely blossom with a new loving family.

Background
All of our dogs have lived their whole lives in family groups in an open space, kennel free environment and it is therefore a shock for them to leave all that they know. For this reason, we require Ariel’s new family to either have an existing resident dog or work from home so she has company through out the day.",07/21/2025
Adopt Axel,/images/c8427780-7eeb-4261-8abc-a4ebeacdcdd8/cropped?width=600&height=338,https://www.hoperescue.org.uk/adopt-axel,The perfect home,  3 Years Old,  Male,,cf72 9nh,Hope Rescue,"Handsome chap Axel is ready to find his new home, on the exterior he gives off a calm presence but once you get to know him his playful cheeky side really comes out. 

My details

 Husky

  Male

  3 Years Old

The perfect home

Axel is full on energy and would love an active home where he can accompany his new owners on all their adventures, we have found he walks well on lead although but can get distracted with a good scent ahead. 


We have introduced him to other dogs and found he generally gets on with them very well and enjoys a play with the right matched dog; he could happily live with another dog in his new home pending successful introductions at the centre. 


Axel can be a little unsure in some situations so owners will need to help build his confidence, but this shouldn’t take long in the right environment, he is currently looking for a home where any children are aged 14 years and over who can give him space when needed. 
He is likely to need some help with toilet training when first coming home and would need owners who are around during the day to build up any time he is left alone slowly.

Axel is a clever lad who will suit any home who are keen to further his training. 

Apply to adopt
Share this page
Email
 
Facebook
 
Twitter",07/21/2025
