id,externalId,name,breed,age,sex,ageCategory,location,county,region,charity,imageUrl,link,scrapedDate,lastSeen,description
"cmfr9ohru00arpkl7j5dhx487","76cd21e","Jamie","Collie","2 years","Male","1 - 3 years","","","","Dogs In Distress","https://dogsindistress.org/wp-content/uploads/2025/07/IMG_8578.jpeg","https://dogsindistress.org/dogs/jamie-2/","2025-09-14T23:00:00.000Z","2025-09-19T20:03:11.224Z","Jamie is Retriever/Collie cross and is a sweet & loving dog who is fantastic with other dogs & children. He’s been living in a house with children over 7 years of age & has been such a good friend to them. Jamie is a real family dog, he loves outings to the parks & fields nearby & would be thrilled to have a friendly dog to share his life with. Jamie has been incredibly loved in his home & it shows….& we’d dearly love to find him another special family to adopt him 🥰 If you are looking for a dog with a beautiful soul, a dog who is sweet & sensitive to all around him & a dog who would love to accompany you on outings & road trips you couldn’t wish for a kinder dog."
"cmfr9ogqj00aqpkl74kvm6qvy","7886c074","Sooty","Pomeranian","10 years","Male","Senior","","","","Dogs In Distress","https://dogsindistress.org/wp-content/uploads/2025/07/783b7fba-4e2e-4a0b-a27a-24eb93a72a8e.jpeg","https://dogsindistress.org/dogs/sooty/","2025-09-14T23:00:00.000Z","2025-09-19T20:03:09.881Z","Gorgeous little Sooty is looking for his forever home. He's a quiet gentle little boy with lots of love to give"
"cmfr9og6900appkl7orxzyzd7","700fb40f","Lola","Maltese","2 years","Female","1 - 3 years","","","","Dogs In Distress","https://dogsindistress.org/wp-content/uploads/2025/07/IMG_1037.jpeg","https://dogsindistress.org/dogs/lola-2/","2025-09-14T23:00:00.000Z","2025-09-19T20:03:09.152Z","❤️Lovely little Lola is looking for her forever home ❤️ Lola is a two year old Maltese/Poodle cross with a sweet and sensitive nature. She is a timid little soul who takes time to trust and will therefore need a kind and caring family who are willing to take things slowly with her and build her confidence gently. Lola loves her walks in Ardgillan Park each day and gets along brilliantly with her canine foster sister Millie. Lola is being so lovingly cared for by Sharon and family we are incredibly grateful to you all for being so very kind to our little lady 🥰❤️ Lola is best suited to a home with adults only as she’s nervous of loud noises and sudden movements. She’d excel in a home with another dog of similar size and won’t be homed as an only dog. She’ll need someone at home during the day to love and cherish her If you can offer our lovely Lola a forever home please complete an adoption form through the link below."
"cmfr9of5100aopkl7hm8cuncj","716b8f4","Ted","Crossbreed","1 year","Male","1 - 3 years","","","","Dogs In Distress","https://dogsindistress.org/wp-content/uploads/2025/09/698c8ffe-3010-4f74-ad2d-06437553fc90.jpeg","https://dogsindistress.org/dogs/ted-2/","2025-09-14T23:00:00.000Z","2025-09-19T20:03:07.811Z","Ted is a friendly and active dog who will need a home with another dog for company"
"cmfr9oe3s00anpkl7o4uq1vvx","15ba3f0a","Marley","Collie","Unknown","Male","Unknown","","","","Dogs In Distress","https://dogsindistress.org/wp-content/uploads/2025/09/2acfdcd8-c5a6-4a4a-bad8-20a82ed5c822.jpeg","https://dogsindistress.org/dogs/marley-3/","2025-09-14T23:00:00.000Z","2025-09-19T20:03:06.470Z","Marley is an energetic dog who will need an active family. Marley is good on the lead. He gets on well with other dogs so a home with our without another dog would suit him."
"cmfr9od2h00ampkl7dlxptupz","44e6209a","Coco","Unknown","Unknown","Unknown","Unknown","","","","Alpet Poundies Rescue","https://alpetpoundiesrescue.weebly.com/uploads/1/2/3/1/123176501/coco-akita-2_orig.jpg","https://alpetpoundiesrescue.weebly.com/our-dogs-ready-for-adoption.html","2025-09-14T23:00:00.000Z","2025-09-19T20:03:05.128Z","Coco is a 3-year-old Akita who came into Rescue with her brother Randy. She has never lived indoors, but she is beautifully clean in her kennel, loves cuddles and is the most affectionate girl. Needs a home with no cats and will probably need to be the only dog.

See on Facebook"
"cmfr9nyxu00alpkl7kwywbhfd","7fd894ad","Randy","Unknown","Unknown","Unknown","Unknown","","","","Alpet Poundies Rescue","https://alpetpoundiesrescue.weebly.com/uploads/1/2/3/1/123176501/randy-4_orig.jpg","https://alpetpoundiesrescue.weebly.com/our-dogs-ready-for-adoption.html","2025-09-14T23:00:00.000Z","2025-09-19T20:02:46.816Z","Randy is a 3-year-old Akita who came into Rescue with his sister Coco. He is a lovely boy, so handsome, full of fun and high jinks. He loves cuddles and if you have a treat he will be yours forever. He has never lived indoors. No cats.

See on Facebook and video here"
"cmfr9nxw800akpkl7zm3xi7q2","d5331b2","Dave","Unknown","Unknown","Unknown","Unknown","","","","Alpet Poundies Rescue","https://alpetpoundiesrescue.weebly.com/uploads/1/2/3/1/123176501/1000000250_orig.jpg","https://alpetpoundiesrescue.weebly.com/our-dogs-ready-for-adoption.html","2025-09-14T23:00:00.000Z","2025-09-19T20:02:45.463Z","Dave, one of our Akita special needs pups, has been returned through no fault of his own. 1-year-old now, he would love to find his forever home. He is fine with most dogs (but hates greyhounds) and he lived with a cat and a baby in his previous home. He has limited hearing and his brain wiring just makes him a big thick lump. This means no off-lead work as he can't hear you, but training with hand signals is the way round his lack of hearing.

See on Facebook"
"cmfr9nwuq00ajpkl7ivbzudbk","17314438","Daffy","Unknown","Unknown","Unknown","Unknown","","","","Alpet Poundies Rescue","https://alpetpoundiesrescue.weebly.com/uploads/1/2/3/1/123176501/published/daffy-2.jpg?1756622185","https://alpetpoundiesrescue.weebly.com/our-dogs-ready-for-adoption.html","2025-09-14T23:00:00.000Z","2025-09-19T20:02:44.112Z","Now in a foster home and settling in well to domestic life, Daffy is a 4-year-old ex-racing greyhound, a sweet girl. Ex-racers make the most fantastic companions, lazy, feet up on the settee, with a few zoomies round the garden and they are happy. 

See on Facebook"
"cmfr9nvt400aipkl7m1v11jr5","70519e72","Ralph","Unknown","Unknown","Unknown","Unknown","","","","Alpet Poundies Rescue","https://alpetpoundiesrescue.weebly.com/uploads/1/2/3/1/123176501/published/ralph3.jpg?1757399033","https://alpetpoundiesrescue.weebly.com/our-dogs-ready-for-adoption.html","2025-09-14T23:00:00.000Z","2025-09-19T20:02:42.758Z","Young Cane Corso Ralph came in with Ruby from the pound where they were about to be pts. Both are sweet dogs with typical Cane Corso slobber and barks.

See on Facebook"
